dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,date,reserve0,reserve1,reserveUSD,liquidityDepth,priceOfA,ratio,ratioChange,buy,sell,holdA,holdB,HoldAsB,HoldAsA,dailyROIA,dailyROIB,ROIAsB,TotROIA,TotROIB,TotROIAsB,1
189703.110799105592315886,1831.408493656579114111,4334909.282386843307794447050941021,2021-07-07 00:00:00,2217022.742151219663020101,21368.320481745181939525,98984671.04042070905254145984812079,47374052469.604774,0.009638295573373815,4915189839215.714,0.34%,0,0.34%,103.75278412944097,1,2.0,103.76242242501434,1.9982863008171698,1.9984732931234406,3.9935218041975475,1.3119229611961958e+88,1.3811581414139479e+88,1.8119730787640208e+176,296
143800.188679465276642517,1369.505013418143133332,2988258.586084775186177839412902227,2021-07-08 00:00:00,2215524.684029728783160148,21304.21087556705567574,90322688.54008980698860073404376076,47200005068.59341,0.009615876107874224,4908549625545.028,0.14%,0,0.14%,103.99468428894613,1,2.0,104.004300165054,1.9993242928486887,1.99699978263463,3.9926501782349666,2.622959446665542e+88,2.7581725081877033e+88,7.234574635884128e+176,297
113233.9009518362346404,1103.55200395156327687,2338277.345139050728813383000285959,2021-07-09 00:00:00,2195278.51554922811930923,21495.64761653925524138,92562052.73760128150847074252863962,47188933390.4056,0.009791763306698852,4819247760832.022,1.82%,0,1.82%,102.12665162319321,1,2.0,102.1364433864999,1.9908616822793976,2.008985863972636,3.9996129768240913,5.221949456539199e+88,5.5411295793470456e+88,2.8935498595484584e+177,298
56629.360368300778052416,547.683773565343598561,1158031.31604909529372401575134476,2021-07-10 00:00:00,2214930.860799975319560184,21208.698682073029214883,89865421.70188311340374709153955327,46975801228.33132,0.009575332150283463,4905918718124.12,-1.80%,-1.80%,0,104.43501951735392,1,2.0,104.4445948495042,2.0089520965615746,1.9866508355744799,3.991086361263155,1.0490646308852999e+89,1.1008289708836274e+89,1.154840738007877e+178,299
58592.001400732053824107,563.11607476251942915,1200071.827211763033383586123956327,2021-07-11 00:00:00,2205899.526597789130605309,21248.717057635252605479,90991066.81005037293444131506757176,46872534898.24796,0.009632676738639882,4865992721444.35,0.81%,0,0.81%,103.81330414511535,1,2.0,103.82293682185399,1.9959225209409361,2.001886885007049,3.9956111181618668,2.0938517227065605e+89,2.20373507944774e+89,4.6142944924905295e+178,300
93248.63122745604084844,906.901835153523848743,1910232.697857137823697575407635153,2021-07-12 00:00:00,2202479.513123400262509807,21187.68289867347899735,86268969.3581816972190444302849716,46665437514.883354,0.009619922806286,4850916005728.289,0.31%,0,0.31%,103.95093808305452,1,2.0,103.9605580058608,1.9984496059620342,1.997127630868432,3.991158926964909,4.1844571501858525e+89,4.4011402182791207e+89,1.841638265534859e+179,301
110841.983889043154481713,1057.483067900085854615,2105685.775303967635403884559892618,2021-07-13 00:00:00,2164355.321859917532111688,20524.502444352520366588,79586353.97095524514463834753439422,44422316093.961266,0.009482963465867052,4684433959263.347,3.43%,0,3.43%,105.45226748994624,1,2.0,105.46175045341211,1.9826903310399389,1.9686997177797823,3.903321895163031,8.296482732324427e+89,8.664523505635354e+89,7.188506964832283e+179,302
205830.720377608566994457,1873.053441364564708063,3615855.083489349369926693371504029,2021-07-14 00:00:00,2226196.801890771902257002,19934.253061794693854272,79427542.03695646232578063904073747,44377570414.24867,0.008954398391401861,4955952200748.7,-5.80%,-5.80%,0,111.67696100725361,1,2.0,111.685915405645,2.028572702183536,1.971241720272725,3.9988071431505636,1.6830018394930408e+90,1.7079870220592097e+90,2.874545299955891e+180,303
186593.244422204653440841,1677.952983295089986233,3299149.183080359206727549985536515,2021-07-15 00:00:00,2232893.276472269890860382,19846.284573846477044588,75562147.35122416843425218072701731,44314635387.89713,0.008888147401832596,4985812384115.069,-0.60%,-0.60%,0,112.50938522844658,1,2.0,112.51827337584841,2.003008033510699,1.9955870687667343,3.9971769303098363,3.3710662049178446e+90,3.4084368148427617e+90,1.1490066158114255e+181,304
126310.13179609769361595,1108.750849389813662378,2105315.984010550849829022920374346,2021-07-16 00:00:00,2255674.411868401186288818,19638.458104042400380911,73657794.98219717872739897012880762,44297967433.83808,0.008706246788416435,5088067052357.858,-2.05%,-2.05%,0,114.8600567273706,1,2.0,114.86876297415903,2.0102025186945447,1.989528192592887,3.9993545837640263,6.776525775811911e+90,6.781181135801176e+90,4.595284875720616e+181,305
207489.235898989820503125,1792.388617172176365964,3372819.976081504683675270839154042,2021-07-17 00:00:00,2280910.102060922428863103,19396.955408761765203419,73510538.01678568954254741047265406,44242711541.06996,0.00850404204498704,5202550893683.568,-2.25%,-2.25%,0,117.59114015546051,1,2.0,117.5996441975055,2.0111876474990105,1.9877025633070997,3.9976428422253587,1.3628864933271565e+91,1.3478971125881749e+91,1.837030769141097e+182,306
